Date,Open,High,Low,Close,Volume,Daily_Return_Pct,Price_Range,Year,Month,Quarter,Day_of_Week
2004-10-20,3.4894,3.7005,3.4673,3.6767,454453092,5.3677,0.2332,2004,10,4,Wednesday
2004-10-21,3.7102,3.7288,3.5175,3.5865,582996420,-3.3341,0.2113,2004,10,4,Thursday
2004-10-22,4.2827,4.4749,4.0753,4.2358,1474200324,-1.0951,0.3996,2004,10,4,Friday
2004-10-25,4.6545,4.8291,4.2857,4.3813,1309257432,-5.8696,0.5434,2004,10,4,Monday
2004-10-26,4.5154,4.7847,4.4707,4.6282,891391716,2.4981,0.314,2004,10,4,Tuesday
2004-10-27,4.619,4.7072,4.5147,4.5383,533725740,-1.7471,0.1925,2004,10,4,Wednesday
2004-10-28,4.8011,4.8281,4.6098,4.6366,593278128,-3.4263,0.2183,2004,10,4,Thursday
2004-10-29,4.735,4.9662,4.734,4.9399,845653500,4.3273,0.2322,2004,10,4,Friday
2004-11-01,4.8689,4.9096,4.7506,4.8073,488507004,-1.2652,0.159,2004,11,4,Monday
2004-11-02,4.8401,4.9488,4.8021,4.9372,453398148,2.0062,0.1467,2004,11,4,Tuesday
2004-11-03,4.7606,5.0072,4.7377,4.9223,554992452,3.3966,0.2695,2004,11,4,Wednesday
2004-11-04,4.5875,4.729,4.5539,4.6804,575807616,2.0251,0.1751,2004,11,4,Thursday
2004-11-05,4.2062,4.5279,4.1863,4.5199,792530676,7.458,0.3416,2004,11,4,Friday
2004-11-08,4.2857,4.3575,4.2074,4.2454,447224328,-0.9403,0.1501,2004,11,4,Monday
2004-11-09,4.1901,4.3515,4.1049,4.3242,442125432,3.2004,0.2466,2004,11,4,Tuesday
2004-11-10,4.1692,4.2849,4.1312,4.239,425334240,1.6742,0.1537,2004,11,4,Wednesday
2004-11-11,4.5457,4.5639,4.162,4.2007,598820580,-7.5896,0.4019,2004,11,4,Thursday
2004-11-12,4.5204,4.7141,4.4061,4.6006,669174156,1.7742,0.308,2004,11,4,Friday
2004-11-15,4.5917,4.6774,4.4397,4.4819,475583940,-2.3913,0.2377,2004,11,4,Monday
2004-11-16,4.2854,4.4576,4.243,4.4086,835859304,2.8749,0.2146,2004,11,4,Tuesday
2004-11-17,4.2844,4.4086,4.1975,4.198,724590684,-2.0166,0.2111,2004,11,4,Wednesday
2004-11-18,4.1613,4.3321,4.1163,4.2296,664518816,1.6413,0.2158,2004,11,4,Thursday
2004-11-19,4.2074,4.2219,4.1359,4.2,350421228,-0.1759,0.086,2004,11,4,Friday
2004-11-22,4.1006,4.2099,4.0065,4.085,494233272,-0.3804,0.2034,2004,11,4,Monday
2004-11-23,4.1608,4.243,4.1354,4.1719,496035468,0.2668,0.1076,2004,11,4,Tuesday
2004-11-24,4.3406,4.4014,4.2847,4.3421,610628760,0.0346,0.1167,2004,11,4,Wednesday
2004-11-26,4.4556,4.4715,4.3545,4.3664,258944796,-2.002,0.117,2004,11,4,Friday
2004-11-29,4.4968,4.544,4.4089,4.4797,426237336,-0.3803,0.1351,2004,11,4,Monday
2004-11-30,4.5199,4.5452,4.4769,4.4884,307692000,-0.6969,0.0683,2004,11,4,Tuesday
2004-12-01,4.4697,4.5328,4.4595,4.5192,314249436,1.1075,0.0733,2004,12,4,Wednesday
2004-12-02,4.4558,4.5082,4.4347,4.4682,250185564,0.2783,0.0735,2004,12,4,Thursday
2004-12-03,4.4807,4.4971,4.4111,4.4695,234533232,-0.25,0.086,2004,12,4,Friday
2004-12-06,4.3786,4.4881,4.3719,4.4491,249909840,1.6101,0.1162,2004,12,4,Monday
2004-12-07,4.2579,4.3763,4.236,4.3714,274561164,2.6656,0.1403,2004,12,4,Tuesday
2004-12-08,4.2219,4.3138,4.1908,4.231,301370328,0.2155,0.123,2004,12,4,Wednesday
2004-12-09,4.3075,4.3093,4.1844,4.2286,305853840,-1.8317,0.1249,2004,12,4,Thursday
2004-12-10,4.2633,4.3436,4.2544,4.3075,172515312,1.0368,0.0892,2004,12,4,Friday
2004-12-13,4.2335,4.3013,4.2087,4.2762,192551256,1.0086,0.0926,2004,12,4,Monday
2004-12-14,4.4382,4.4414,4.2124,4.2472,443092464,-4.3035,0.229,2004,12,4,Tuesday
2004-12-15,4.4653,4.4879,4.3878,4.4208,458381160,-0.9966,0.1001,2004,12,4,Wednesday
2004-12-16,4.383,4.4829,4.3701,4.395,342569088,0.2738,0.1128,2004,12,4,Thursday
2004-12-17,4.4727,4.4831,4.385,4.3903,295152552,-1.8423,0.0981,2004,12,4,Friday
2004-12-20,4.5954,4.6808,4.5172,4.5204,392986620,-1.6321,0.1636,2004,12,4,Monday
2004-12-21,4.5639,4.6664,4.5552,4.6274,220431348,1.3914,0.1112,2004,12,4,Tuesday
2004-12-22,4.6272,4.6409,4.5455,4.5676,156123720,-1.288,0.0954,2004,12,4,Wednesday
2004-12-23,4.6669,4.6843,4.6197,4.6558,144439416,-0.2378,0.0646,2004,12,4,Thursday
2004-12-27,4.7665,4.8011,4.6967,4.698,243919836,-1.4371,0.1044,2004,12,4,Monday
2004-12-28,4.7876,4.8073,4.7442,4.7715,165666168,-0.3363,0.0631,2004,12,4,Tuesday
2004-12-29,4.7911,4.8065,4.7633,4.7633,107016876,-0.5802,0.0432,2004,12,4,Wednesday
2004-12-30,4.9079,4.9235,4.765,4.7929,235935828,-2.3432,0.1585,2004,12,4,Thursday
2004-12-31,4.7884,4.9645,4.7827,4.9483,306433260,3.3393,0.1818,2004,12,4,Friday
2005-01-03,5.0348,5.0579,4.8547,4.9029,633134232,-2.6198,0.2032,2005,1,1,Monday
2005-01-04,4.8309,5.0402,4.8055,5.0022,549685764,3.5459,0.2347,2005,1,1,Tuesday
2005-01-05,4.8063,4.8905,4.7745,4.8048,329134536,-0.0312,0.116,2005,1,1,Wednesday
2005-01-06,4.6831,4.8656,4.6625,4.8453,415068516,3.4635,0.2031,2005,1,1,Thursday
2005-01-07,4.8147,4.8247,4.6888,4.735,386129484,-1.6553,0.1359,2005,1,1,Friday
2005-01-10,4.8448,4.9203,4.7646,4.8309,301282416,-0.2869,0.1557,2005,1,1,Monday
2005-01-11,4.807,4.9106,4.7981,4.8587,278069652,1.0755,0.1125,2005,1,1,Tuesday
2005-01-12,4.8527,4.8664,4.7315,4.8266,326784888,-0.5378,0.1349,2005,1,1,Wednesday
2005-01-13,4.8515,4.9026,4.8197,4.8527,273702024,0.0247,0.0829,2005,1,1,Thursday
2005-01-14,4.9667,4.9677,4.8217,4.8681,385226388,-1.9852,0.146,2005,1,1,Friday
2005-01-18,5.0643,5.0922,4.9342,4.9916,526377096,-1.4355,0.158,2005,1,1,Tuesday
2005-01-19,4.9004,5.0991,4.8858,5.083,449857692,3.7262,0.2133,2005,1,1,Wednesday
2005-01-20,4.8165,4.8743,4.7688,4.7812,359703936,-0.7329,0.1055,2005,1,1,Thursday
2005-01-21,4.6764,4.8522,4.6724,4.8319,369965664,3.3252,0.1798,2005,1,1,Friday
2005-01-24,4.4886,4.7025,4.4787,4.6866,560347092,4.4112,0.2238,2005,1,1,Monday
2005-01-25,4.3992,4.5264,4.3786,4.5189,425941632,2.7209,0.1478,2005,1,1,Tuesday
2005-01-26,4.7002,4.7044,4.4496,4.4526,491823684,-5.2679,0.2548,2005,1,1,Wednesday
2005-01-27,4.6714,4.6908,4.5999,4.6883,264830904,0.3618,0.0909,2005,1,1,Thursday
2005-01-28,4.7275,4.8358,4.6282,4.7196,487839672,-0.1671,0.2076,2005,1,1,Friday
2005-01-31,4.8587,4.8771,4.7618,4.8107,383484132,-0.9879,0.1153,2005,1,1,Monday
2005-02-01,4.7663,4.8845,4.7347,4.8279,752806440,1.2924,0.1498,2005,2,1,Tuesday
2005-02-02,5.1155,5.3847,5.0584,5.3537,1310660028,4.6564,0.3263,2005,2,1,Wednesday
2005-02-03,5.2372,5.2995,5.1118,5.1162,519004476,-2.3104,0.1877,2005,2,1,Thursday
2005-02-04,5.0758,5.16,5.032,5.1282,592179228,1.0323,0.128,2005,2,1,Friday
2005-02-07,4.8689,5.1264,4.856,5.0981,517897584,4.7074,0.2704,2005,2,1,Monday
2005-02-08,4.9337,4.968,4.8316,4.892,458740800,-0.8452,0.1364,2005,2,1,Tuesday
2005-02-09,4.7583,5.0072,4.7057,4.9863,686173140,4.7916,0.3015,2005,2,1,Wednesday
2005-02-10,4.6689,4.774,4.6011,4.768,758548692,2.1226,0.1729,2005,2,1,Thursday
2005-02-11,4.6545,4.7767,4.6215,4.6361,524115360,-0.3953,0.1552,2005,2,1,Friday
2005-02-14,4.7934,4.7956,4.4956,4.5415,1540945512,-5.2551,0.3,2005,2,1,Monday
2005-02-15,4.849,4.9635,4.7956,4.8085,1030280688,-0.8352,0.1679,2005,2,1,Tuesday
2005-02-16,4.928,4.9508,4.8259,4.8358,660630708,-1.8709,0.1249,2005,2,1,Wednesday
2005-02-17,4.9153,4.9613,4.8882,4.9136,416159424,-0.0346,0.0731,2005,2,1,Thursday
2005-02-18,4.9166,4.9387,4.8845,4.9305,339096564,0.2827,0.0542,2005,2,1,Friday
2005-02-22,4.7531,4.9402,4.7288,4.8805,538808652,2.6804,0.2114,2005,2,1,Tuesday
2005-02-23,4.8172,4.8304,4.6858,4.8011,622816560,-0.3342,0.1446,2005,2,1,Wednesday
2005-02-24,4.6915,4.7154,4.5261,4.5544,1031539428,-2.9223,0.1893,2005,2,1,Thursday
2005-02-25,4.6165,4.7171,4.6076,4.698,398541060,1.7654,0.1095,2005,2,1,Friday
2005-02-28,4.6692,4.7159,4.616,4.6197,312423264,-1.0601,0.0999,2005,2,1,Monday
2005-03-01,4.6212,4.7129,4.5204,4.7015,372075552,1.7376,0.1925,2005,3,1,Tuesday
2005-03-02,4.5994,4.6612,4.579,4.6185,291128580,0.4153,0.0822,2005,3,1,Wednesday
2005-03-03,4.6448,4.6632,4.5778,4.623,304039656,-0.4693,0.0854,2005,3,1,Thursday
2005-03-04,4.6173,4.6508,4.5967,4.6371,270693036,0.4288,0.0541,2005,3,1,Friday
2005-03-07,4.6895,4.7092,4.6453,4.664,346349304,-0.5438,0.0639,2005,3,1,Monday
2005-03-08,4.5999,4.7154,4.5942,4.6967,321522156,2.1044,0.1212,2005,3,1,Tuesday
2005-03-09,4.5043,4.5862,4.4747,4.5753,453961584,1.5763,0.1115,2005,3,1,Wednesday
2005-03-10,4.4702,4.5005,4.4061,4.4958,437981580,0.5727,0.0944,2005,3,1,Thursday
2005-03-11,4.4161,4.4943,4.3999,4.4817,320810868,1.4855,0.0944,2005,3,1,Friday
2005-03-14,4.3463,4.431,4.2862,4.4292,445418136,1.9074,0.1448,2005,3,1,Monday
2005-03-15,4.4362,4.4707,4.3269,4.354,416467116,-1.8529,0.1438,2005,3,1,Tuesday
2005-03-16,4.3614,4.4362,4.3468,4.3888,283967748,0.6282,0.0894,2005,3,1,Wednesday
2005-03-17,4.4531,4.4618,4.3664,4.3994,330093576,-1.2059,0.0954,2005,3,1,Thursday
2005-03-18,4.4717,4.4807,4.4287,4.4412,283316400,-0.6821,0.052,2005,3,1,Friday
2005-03-21,4.4926,4.5246,4.4024,4.4526,299048652,-0.8904,0.1222,2005,3,1,Monday
2005-03-22,4.436,4.5189,4.4173,4.5,225042732,1.4427,0.1016,2005,3,1,Tuesday
2005-03-23,4.4454,4.4767,4.4203,4.4203,193606200,-0.5646,0.0564,2005,3,1,Wednesday
2005-03-24,4.4521,4.4921,4.4509,4.4881,148059792,0.8086,0.0412,2005,3,1,Thursday
2005-03-28,4.506,4.5899,4.4943,4.5125,349170480,0.1443,0.0956,2005,3,1,Monday
2005-03-29,4.46,4.5522,4.4228,4.4968,258661080,0.8251,0.1294,2005,3,1,Tuesday
2005-03-30,4.4819,4.5067,4.4608,4.4866,249194556,0.1049,0.0459,2005,3,1,Wednesday
2005-03-31,4.4834,4.5052,4.4121,4.4198,270473256,-1.4186,0.0931,2005,3,1,Thursday
2005-04-01,4.4717,4.544,4.4705,4.5144,247032720,0.9549,0.0735,2005,4,2,Friday
2005-04-04,4.6021,4.6029,4.4668,4.4695,322732944,-2.8813,0.1361,2005,4,2,Monday
2005-04-05,4.6836,4.7256,4.6587,4.6627,349118532,-0.4462,0.0669,2005,4,2,Tuesday
2005-04-06,4.6997,4.7104,4.659,4.7002,209893896,0.0106,0.0514,2005,4,2,Wednesday
2005-04-07,4.8125,4.8338,4.6853,4.6888,387300312,-2.5704,0.1485,2005,4,2,Thursday
2005-04-08,4.77,4.8458,4.7551,4.8107,204459336,0.8532,0.0907,2005,4,2,Friday
2005-04-11,4.7993,4.8383,4.7767,4.7958,216203580,-0.0729,0.0616,2005,4,2,Monday
2005-04-12,4.8175,4.8289,4.7044,4.7936,292491216,-0.4961,0.1245,2005,4,2,Tuesday
2005-04-13,4.7919,4.8264,4.7124,4.8053,261969768,0.2796,0.114,2005,4,2,Wednesday
2005-04-14,4.7551,4.8274,4.7216,4.8003,245861892,0.9506,0.1058,2005,4,2,Thursday
2005-04-15,4.5949,4.7275,4.5865,4.7216,462632904,2.7574,0.141,2005,4,2,Friday
2005-04-18,4.6438,4.6664,4.5574,4.5845,261749988,-1.277,0.109,2005,4,2,Monday
2005-04-19,4.7539,4.7688,4.6702,4.7025,336862800,-1.0812,0.0986,2005,4,2,Tuesday
2005-04-20,4.9203,4.9799,4.8659,4.9322,617441940,0.2419,0.114,2005,4,2,Wednesday
2005-04-21,5.0723,5.0917,4.9506,4.9779,709365924,-1.8611,0.1411,2005,4,2,Thursday
2005-04-22,5.3602,5.5636,5.3217,5.5362,1326875796,3.2835,0.2419,2005,4,2,Friday
2005-04-25,5.5519,5.5819,5.4026,5.4101,792806400,-2.5541,0.1793,2005,4,2,Monday
2005-04-26,5.4332,5.5139,5.4217,5.4697,690189120,0.6718,0.0922,2005,4,2,Tuesday
2005-04-27,5.4588,5.4853,5.3832,5.4143,410181408,-0.8152,0.1021,2005,4,2,Wednesday
2005-04-28,5.4506,5.5159,5.4073,5.4518,346964688,0.022,0.1086,2005,4,2,Thursday
2005-04-29,5.4642,5.5201,5.4101,5.5117,366441192,0.8693,0.11,2005,4,2,Friday
2005-05-02,5.5211,5.5561,5.4694,5.5151,390305304,-0.1087,0.0867,2005,5,2,Monday
2005-05-03,5.618,5.6666,5.497,5.5102,710496792,-1.9188,0.1696,2005,5,2,Tuesday
2005-05-04,5.6753,5.7096,5.6381,5.6438,482856660,-0.555,0.0715,2005,5,2,Wednesday
2005-05-05,5.6376,5.6783,5.6103,5.6783,300083616,0.7219,0.068,2005,5,2,Thursday
2005-05-06,5.6634,5.694,5.6249,5.6729,270285444,0.1677,0.0691,2005,5,2,Friday
2005-05-09,5.6137,5.6753,5.5991,5.6629,221250528,0.8764,0.0762,2005,5,2,Monday
2005-05-10,5.658,5.658,5.5815,5.6001,253578168,-1.0233,0.0765,2005,5,2,Tuesday
2005-05-11,5.7446,5.7618,5.6612,5.687,458692848,-1.0027,0.1006,2005,5,2,Wednesday
2005-05-12,5.6808,5.768,5.6679,5.7327,357570072,0.9136,0.1001,2005,5,2,Thursday
2005-05-13,5.6937,5.7397,5.646,5.6922,296323380,-0.0263,0.0937,2005,5,2,Friday
2005-05-16,5.7387,5.7528,5.6771,5.7046,227028744,-0.5942,0.0757,2005,5,2,Monday
2005-05-17,5.7903,5.7983,5.7176,5.7265,312043644,-1.1018,0.0807,2005,5,2,Tuesday
2005-05-18,5.9401,5.9602,5.8,5.8023,491987520,-2.3198,0.1602,2005,5,2,Wednesday
2005-05-19,5.9406,5.99,5.918,5.9694,388271340,0.4848,0.072,2005,5,2,Thursday
2005-05-20,6.001,6.0024,5.9523,5.991,326213460,-0.1666,0.0501,2005,5,2,Friday
2005-05-23,6.3447,6.4105,6.0283,6.0395,854676468,-4.8103,0.3822,2005,5,2,Monday
2005-05-24,6.3584,6.5928,6.2963,6.3822,1160562276,0.3743,0.2965,2005,5,2,Tuesday
2005-05-25,6.4778,6.4821,6.225,6.2771,721593684,-3.0983,0.2571,2005,5,2,Wednesday
2005-05-26,6.4378,6.5511,6.4155,6.4816,541322136,0.6804,0.1356,2005,5,2,Thursday
2005-05-27,6.6067,6.608,6.4391,6.4691,486876636,-2.0827,0.1689,2005,5,2,Friday
2005-05-31,6.8867,6.9147,6.6904,6.6919,888582528,-2.8286,0.2243,2005,5,2,Tuesday
2005-06-01,7.1532,7.2746,7.0046,7.0339,1406260332,-1.6678,0.27,2005,6,2,Wednesday
2005-06-02,7.1507,7.1974,7.0687,7.1713,718245036,0.2881,0.1287,2005,6,2,Thursday
2005-06-03,6.9609,7.1854,6.8901,7.1231,750540708,2.3302,0.2953,2005,6,2,Friday
2005-06-06,7.2262,7.296,6.9999,7.0138,900134964,-2.9393,0.2961,2005,6,2,Monday
2005-06-07,7.2803,7.441,7.2103,7.3792,971947080,1.3585,0.2307,2005,6,2,Tuesday
2005-06-08,6.9435,7.2821,6.9048,7.2736,1027007964,4.7541,0.3773,2005,6,2,Wednesday
2005-06-09,7.1112,7.1656,6.9684,7.0717,656986356,-0.5555,0.1972,2005,6,2,Thursday
2005-06-10,7.0166,7.1353,6.955,7.1281,507356136,1.5891,0.1803,2005,6,2,Friday
2005-06-13,7.0228,7.0585,6.868,6.95,511615872,-1.0366,0.1905,2005,6,2,Monday
2005-06-14,6.9135,6.9853,6.8986,6.9194,403272324,0.0853,0.0867,2005,6,2,Tuesday
2005-06-15,6.8253,6.8874,6.6423,6.8303,834488676,0.0733,0.2451,2005,6,2,Wednesday
2005-06-16,6.8909,6.9122,6.7823,6.8119,497997504,-1.1464,0.1299,2005,6,2,Thursday
2005-06-17,6.9619,6.9619,6.8526,6.9296,416958624,-0.464,0.1093,2005,6,2,Friday
2005-06-20,7.1209,7.145,6.7491,6.8573,840147012,-3.7018,0.3959,2005,6,2,Monday
2005-06-21,7.1492,7.2103,7.0779,7.1549,604686708,0.0797,0.1324,2005,6,2,Tuesday
2005-06-22,7.1854,7.2605,7.1698,7.1946,418541040,0.128,0.0907,2005,6,2,Wednesday
2005-06-23,7.1956,7.3223,7.1159,7.1532,561693744,-0.5892,0.2064,2005,6,2,Thursday
2005-06-24,7.3829,7.4015,7.1924,7.2252,710137152,-2.136,0.2091,2005,6,2,Friday
2005-06-27,7.553,7.5622,7.2987,7.4239,711403884,-1.7093,0.2635,2005,6,2,Monday
2005-06-28,7.5009,7.681,7.5009,7.6072,760698540,1.4172,0.1801,2005,6,2,Tuesday
2005-06-29,7.2704,7.56,7.2562,7.5133,731216052,3.3409,0.3038,2005,6,2,Wednesday
2005-06-30,7.3059,7.4246,7.2287,7.3106,603172224,0.0643,0.1959,2005,6,2,Thursday
2005-07-01,7.2339,7.3578,7.1835,7.328,368734896,1.3008,0.1743,2005,7,3,Friday
2005-07-05,7.3447,7.3514,7.2085,7.255,299460240,-1.2213,0.1429,2005,7,3,Tuesday
2005-07-06,7.2406,7.3916,7.2371,7.3841,319691988,1.9819,0.1545,2005,7,3,Wednesday
2005-07-07,7.3404,7.3469,7.1658,7.1877,426457116,-2.0803,0.1811,2005,7,3,Thursday
2005-07-08,7.3576,7.3891,7.3034,7.3581,298005696,0.0068,0.0857,2005,7,3,Friday
2005-07-11,7.286,7.3668,7.2282,7.3618,335276388,1.0404,0.1386,2005,7,3,Monday
2005-07-12,7.247,7.3121,7.2259,7.287,234361404,0.552,0.0862,2005,7,3,Tuesday
2005-07-13,7.4229,7.4323,7.255,7.2652,457058484,-2.1245,0.1773,2005,7,3,Wednesday
2005-07-14,7.4733,7.6189,7.4529,7.5838,426281292,1.4786,0.166,2005,7,3,Thursday
2005-07-15,7.4808,7.5357,7.4457,7.482,337198464,0.016,0.09,2005,7,3,Friday
2005-07-18,7.4398,7.4984,7.3953,7.4512,248063688,0.1532,0.1031,2005,7,3,Monday
2005-07-19,7.6971,7.7083,7.4959,7.5034,504351144,-2.5165,0.2124,2005,7,3,Tuesday
2005-07-20,7.7493,7.7644,7.4959,7.5896,571843584,-2.0608,0.2685,2005,7,3,Wednesday
2005-07-21,7.7974,7.8933,7.7296,7.8002,790784424,0.0359,0.1637,2005,7,3,Thursday
2005-07-22,7.5108,7.681,7.3601,7.6094,934536528,1.3128,0.3209,2005,7,3,Friday
2005-07-25,7.3481,7.5329,7.326,7.5106,385965648,2.2115,0.2069,2005,7,3,Monday
2005-07-26,7.3541,7.4015,7.2547,7.3273,392283324,-0.3644,0.1468,2005,7,3,Tuesday
2005-07-27,7.375,7.4072,7.2624,7.3951,288427284,0.2725,0.1448,2005,7,3,Wednesday
2005-07-28,7.2898,7.3869,7.2843,7.3869,236786976,1.332,0.1026,2005,7,3,Thursday
2005-07-29,7.1472,7.2734,7.1281,7.256,334197468,1.5223,0.1453,2005,7,3,Friday
2005-08-01,7.2428,7.2649,7.1556,7.1561,226269504,-1.1971,0.1093,2005,8,3,Monday
2005-08-02,7.4311,7.4393,7.2307,7.2426,291316392,-2.5366,0.2086,2005,8,3,Tuesday
2005-08-03,7.3841,7.4443,7.3419,7.4015,236986776,0.2356,0.1024,2005,8,3,Wednesday
2005-08-04,7.3948,7.4264,7.3332,7.3407,209250540,-0.7316,0.0932,2005,8,3,Thursday
2005-08-05,7.2612,7.4142,7.2354,7.3891,237350412,1.7614,0.1788,2005,8,3,Friday
2005-08-08,7.2339,7.3432,7.215,7.2922,179092728,0.8059,0.1282,2005,8,3,Monday
2005-08-09,7.2418,7.2694,7.1658,7.2515,230940828,0.1339,0.1036,2005,8,3,Tuesday
2005-08-10,7.0955,7.2607,7.0757,7.2351,274884840,1.9674,0.185,2005,8,3,Wednesday
2005-08-11,7.0551,7.1179,6.9699,7.1008,300295404,0.6478,0.148,2005,8,3,Thursday
2005-08-12,7.1959,7.2078,6.9952,7.0379,263172564,-2.1957,0.2126,2005,8,3,Friday
2005-08-15,7.0538,7.2716,7.0481,7.1979,326661012,2.0429,0.2235,2005,8,3,Monday
2005-08-16,7.0948,7.1479,7.0374,7.0757,284083632,-0.2692,0.1105,2005,8,3,Tuesday
2005-08-17,7.0811,7.1176,7.0538,7.0913,155176668,0.144,0.0638,2005,8,3,Wednesday
2005-08-18,6.9542,6.9669,6.8303,6.8529,474437088,-1.4567,0.1366,2005,8,3,Thursday
2005-08-19,6.9545,6.9905,6.945,6.9791,221494284,0.3537,0.0455,2005,8,3,Friday
2005-08-22,6.8057,6.991,6.7893,6.9853,272247480,2.639,0.2017,2005,8,3,Monday
2005-08-23,6.944,6.948,6.8084,6.8591,232635132,-1.2226,0.1396,2005,8,3,Tuesday
2005-08-24,7.0183,7.0724,6.8663,6.8941,343380276,-1.7697,0.2061,2005,8,3,Wednesday
2005-08-25,7.0188,7.0538,6.9537,7.0178,174888936,-0.0142,0.1001,2005,8,3,Thursday
2005-08-26,7.0434,7.0791,7.0205,7.0409,150061788,-0.0355,0.0586,2005,8,3,Friday
2005-08-29,7.1643,7.181,7.0101,7.0101,235883880,-2.1523,0.1709,2005,8,3,Monday
2005-08-30,7.135,7.1907,7.1005,7.138,191488320,0.042,0.0902,2005,8,3,Tuesday
2005-08-31,7.1035,7.1656,7.0628,7.1589,201158640,0.7799,0.1028,2005,8,3,Wednesday
